customer_id,first_name,last_name,gender,DOB,job_industry_category,job_title,wealth_segment,deceased_indicator,owns_car,address
19,Sorcha,Keyson,Female,2001-04-15 00:00:00,Manufacturing,Geological Engineer,High Net Worth,N,No,18 Jenna Center
20,Basile,Firth,Male,1980-08-13 00:00:00,Manufacturing,Project Manager,Mass Customer,N,No,3 Cordelia Plaza
21,Mile,Cammocke,Male,1980-09-20 00:00:00,Manufacturing,Safety Technician I,Affluent Customer,N,Yes,28 5th Center
22,Deeanne,Durtnell,Female,1962-12-10 00:00:00,IT,,Mass Customer,N,No,52 Carey Alley
23,Olav,Polak,Male,1995-02-10 00:00:00,,,High Net Worth,N,Yes,96 Texas Plaza
24,Kim,Skpsey,Female,1977-12-03 00:00:00,Argiculture,Research Assistant I,Mass Customer,N,Yes,48 Eagan Avenue
25,Geoff,Assaf,Male,1976-12-02 00:00:00,Financial Services,Accounting Assistant III,Mass Customer,N,Yes,9 Buell Park
26,Trixi,Ginnelly,Female,1978-06-10 00:00:00,Financial Services,Editor,Mass Customer,N,Yes,02663 Buell Parkway
27,Garvin,Klees,Male,1978-09-25 00:00:00,Health,Research Nurse,Mass Customer,N,Yes,2294 Pleasure Place
28,Fee,Zellmer,Male,1973-09-30 00:00:00,Health,Senior Quality Engineer,Affluent Customer,N,Yes,2951 Petterle Place
29,Mona,Sancraft,Female,1968-06-22 00:00:00,Manufacturing,Safety Technician III,Mass Customer,N,No,63 Lukken Drive
30,Darrick,Helleckas,Male,1961-10-18 00:00:00,IT,,Affluent Customer,N,Yes,833 Luster Way
31,Star,Praton,Female,1962-11-24 00:00:00,Telecommunications,Staff Accountant III,High Net Worth,N,Yes,34 Russell Plaza
32,Marion,Vanichkin,Female,1995-04-20 00:00:00,Manufacturing,Legal Assistant,Affluent Customer,N,No,78 Del Sol Hill
33,Ernst,Hacon,Male,1957-06-25 00:00:00,,Product Engineer,Affluent Customer,N,Yes,54 Sage Plaza
34,Jephthah,Bachmann,U,1843-12-21,IT,Legal Assistant,Affluent Customer,N,No,90 Lawn Parkway
35,Margaretha,Strettle,Female,1963-09-28 00:00:00,Health,Information Systems Manager,High Net Worth,N,Yes,38726 Ilene Crossing
36,Lurette,Stonnell,Female,1977-11-09 00:00:00,,VP Quality Control,Affluent Customer,N,No,3496 Brown Drive
37,Laurie,Dwerryhouse,Female,1985-12-22 00:00:00,Health,Social Worker,High Net Worth,N,No,7188 Cody Way
38,Cordi,Merman,Female,1955-10-29 00:00:00,Financial Services,Senior Cost Accountant,Affluent Customer,N,No,1 Claremont Park
39,Hunfredo,Smalley,Male,1979-04-16 00:00:00,Entertainment,Assistant Media Planner,Mass Customer,N,No,60 Eagan Circle
40,Tomasine,Jerche,Female,1981-10-27 00:00:00,Manufacturing,Payment Adjustment Coordinator,Affluent Customer,N,No,89314 Eagle Crest Center
41,Basilius,Coupe,Male,1976-04-14 00:00:00,Health,Food Chemist,Mass Customer,N,No,2028 Lakewood Place
42,Chiquita,Durnall,Female,1977-03-28 00:00:00,Manufacturing,Accountant III,Mass Customer,N,No,70875 Hudson Point
43,Indira,Belt,Female,1983-03-01 00:00:00,Retail,Director of Sales,Mass Customer,N,No,543 Killdeer Park
44,Neron,Verick,Male,1981-10-18 00:00:00,Entertainment,Assistant Media Planner,Affluent Customer,N,Yes,22125 Ramsey Drive
45,Trace,Woodhead,Male,1975-09-23 00:00:00,Financial Services,Senior Financial Analyst,Mass Customer,N,No,3107 Calypso Terrace
46,Kaila,Allin,Female,1972-02-26 00:00:00,,,Affluent Customer,N,Yes,957 Veith Junction
47,Matthew,Jeaycock,Male,1992-10-22 00:00:00,Health,Registered Nurse,Affluent Customer,N,No,4853 Gulseth Avenue
48,Rebbecca,Casone,Female,1975-08-15 00:00:00,,Biostatistician II,Mass Customer,N,Yes,9 Michigan Terrace
49,Nolly,Ownsworth,Male,1994-01-26 00:00:00,,VP Quality Control,Affluent Customer,N,No,62 Steensland Road
50,Whitby,Schapero,Male,1980-10-01 00:00:00,Manufacturing,Account Executive,Mass Customer,N,Yes,6 Homewood Avenue
51,Fidelio,Dilke,Male,1959-12-05 00:00:00,Retail,Computer Systems Analyst II,Mass Customer,N,No,15 Almo Lane
52,Curran,Bentson,Male,1988-06-22 00:00:00,Financial Services,,Mass Customer,N,Yes,690 Glacier Hill Circle
53,Agnella,Gocke,Female,1954-04-18 00:00:00,Financial Services,Software Test Engineer II,Mass Customer,N,No,89787 Village Green Terrace
54,Loralyn,Wonfor,Femal,1966-07-24 00:00:00,Property,Sales Associate,Mass Customer,N,Yes,18 Elgar Park
55,Linc,Jillions,Male,1956-09-24 00:00:00,Financial Services,Paralegal,Affluent Customer,N,Yes,413 Mayer Street
56,Reese,Ensor,Male,1996-07-04 00:00:00,Property,VP Sales,Mass Customer,N,Yes,39 3rd Drive
57,Abba,Masedon,M,1988-06-13 00:00:00,,Chief Design Engineer,Mass Customer,N,Yes,44516 Katie Parkway
58,Dalenna,Pinnock,Female,1967-07-04 00:00:00,Financial Services,Office Assistant III,Affluent Customer,N,Yes,41 Schurz Center
59,Niki,Heathcote,Male,2000-02-08 00:00:00,,Physical Therapy Assistant,High Net Worth,N,No,68150 Boyd Road
60,Nadiya,Champerlen,Female,1970-02-04 00:00:00,Manufacturing,,Mass Customer,N,No,11474 Westend Hill
61,Kacey,Rowbottom,Female,1959-11-29 00:00:00,Property,Help Desk Operator,High Net Worth,N,No,308 Jana Crossing
62,Sorcha,Roggers,Female,1979-07-06 00:00:00,IT,,Mass Customer,N,Yes,163 Straubel Trail
63,Ebony,Zini,Female,1965-07-03 00:00:00,Retail,Senior Quality Engineer,Mass Customer,N,Yes,68294 Clarendon Crossing
64,Gerek,Yve,Male,1978-03-25 00:00:00,IT,Legal Assistant,High Net Worth,N,No,486 Mariners Cove Plaza
65,Yale,Tanser,Male,1976-04-01 00:00:00,Financial Services,Information Systems Manager,Affluent Customer,N,Yes,0322 Dryden Court
66,Anselm,Gawne,Male,2002-03-11 00:00:00,Argiculture,Account Executive,High Net Worth,N,No,9 Bonner Road
67,Vernon,,Male,1960-06-14 00:00:00,Retail,Web Developer II,Mass Customer,N,No,07041 Briar Crest Lane
68,Dahlia,Eddoes,Female,1974-04-21 00:00:00,,Information Systems Manager,Affluent Customer,N,No,29466 Hanson Pass
69,Heidi,Milner,Female,1969-06-22 00:00:00,,Web Developer II,Mass Customer,N,No,0212 Forest Run Trail
70,Foster,Vannoort,Male,1993-02-27 00:00:00,Financial Services,Paralegal,Affluent Customer,N,No,33055 Menomonie Parkway
71,Hoyt,Glavias,Male,1985-01-27 00:00:00,Argiculture,Research Associate,Affluent Customer,N,Yes,4763 Merchant Avenue
72,Sammy,Cheese,Male,1972-02-13 00:00:00,Manufacturing,Administrative Officer,Affluent Customer,N,Yes,439 Ridgeway Court
73,Minette,Worters,Female,1960-05-27 00:00:00,,Teacher,Affluent Customer,N,Yes,2 Clyde Gallagher Lane
74,Pansy,Kiddie,Female,1969-06-19 00:00:00,,,Mass Customer,N,Yes,97455 Loeprich Lane
75,Dollie,Sealy,Female,1978-07-15 00:00:00,Property,VP Product Management,Mass Customer,N,No,9527 Ridgeway Street
76,Rea,Hasser,Female,1978-01-23 00:00:00,Retail,Statistician II,High Net Worth,N,Yes,7 Jackson Point
77,Shermie,Andrin,Male,1989-09-12 00:00:00,Financial Services,Automation Specialist IV,Mass Customer,N,No,74 Anniversary Junction
78,Arch,Van der Kruis,Male,1985-03-12 00:00:00,Argiculture,Business Systems Development Analyst,Affluent Customer,N,No,2083 Spaight Court
79,Tybi,Silliman,Female,1968-10-02 00:00:00,Manufacturing,Account Executive,Mass Customer,N,No,2796 Caliangt Circle
80,Pablo,Small,Male,1978-04-24 00:00:00,Entertainment,Data Coordiator,Mass Customer,N,No,96061 Ludington Place
81,Bee,Blazewicz,Female,1986-09-04 00:00:00,Health,,High Net Worth,N,No,5037 Merchant Crossing
82,Gleda,Cokely,Female,1965-06-28 00:00:00,Property,Software Test Engineer III,High Net Worth,N,No,289 Haas Street
83,Kerr,Simmell,Male,1967-02-26 00:00:00,IT,Internal Auditor,Mass Customer,N,Yes,4423 Bartelt Parkway
84,Rich,Mathiasen,Male,1958-02-07 00:00:00,,Accountant III,Mass Customer,N,Yes,5 Grim Center
85,Kane,Tixall,Male,1958-05-21 00:00:00,,Analyst Programmer,Mass Customer,N,No,73042 Roth Crossing
86,Job,Sleney,Male,1989-03-04 00:00:00,Health,Occupational Therapist,High Net Worth,N,Yes,171 Fordem Junction
87,Fields,Langdon,Male,1974-04-23 00:00:00,Financial Services,Editor,Mass Customer,N,No,2640 Manley Point
88,Malynda,Tumber,Female,1966-02-03 00:00:00,Property,Help Desk Operator,High Net Worth,N,Yes,3 Hintze Pass
89,Benedicto,Hoxey,Male,1967-01-22 00:00:00,Health,Speech Pathologist,Mass Customer,N,Yes,2 Mcbride Road
90,Cary,Garron,Male,1984-11-12 00:00:00,Manufacturing,Quality Control Specialist,Mass Customer,N,No,67234 Transport Hill
91,Dylan,Meaker,Male,1955-02-24 00:00:00,Financial Services,Senior Financial Analyst,Affluent Customer,N,Yes,72 Dorton Crossing
92,Jodee,Judkins,Female,1980-09-11 00:00:00,Health,Recruiting Manager,Mass Customer,N,No,6 Heffernan Center
93,Gordon,Gowar,Male,1976-07-16 00:00:00,Retail,Project Manager,Mass Customer,N,Yes,6088 Roxbury Hill
94,Wallache,Simchenko,Male,1974-08-07 00:00:00,Manufacturing,Civil Engineer,Mass Customer,N,No,105 Shelley Alley
95,Nomi,Mallinder,Female,1960-12-25 00:00:00,Manufacturing,Software Engineer III,Affluent Customer,N,Yes,079 Merry Park
96,Heath,Olford,Male,1968-08-31 00:00:00,Manufacturing,Nuclear Power Engineer,Mass Customer,N,No,8722 Summit Alley
97,Arne,Corain,Male,1979-07-27 00:00:00,Financial Services,Community Outreach Specialist,Mass Customer,N,Yes,9554 Artisan Pass
98,Allianora,Babalola,Female,1956-03-17 00:00:00,Health,Safety Technician IV,Mass Customer,N,No,55850 Butterfield Road
99,Reggie,Mulliner,Male,1998-06-13 00:00:00,Financial Services,VP Accounting,Mass Customer,N,No,68 Little Fleur Crossing
100,Tripp,Steed,Male,1968-05-11 00:00:00,Financial Services,General Manager,Mass Customer,N,Yes,85688 New Castle Crossing
101,Goran,Kwietek,Male,1975-12-29 00:00:00,Manufacturing,Nurse Practicioner,High Net Worth,N,No,8611 Loomis Lane
102,Langsdon,Tranfield,Male,1956-11-27 00:00:00,Manufacturing,Quality Control Specialist,Affluent Customer,N,No,7909 Pierstorff Crossing
103,Ethyl,Runham,Female,1997-04-21 00:00:00,Financial Services,Product Engineer,Affluent Customer,N,Yes,01 Muir Parkway
104,Odille,Panketh,Female,1978-06-06 00:00:00,Health,Automation Specialist II,Mass Customer,N,Yes,0410 Division Junction
105,Maribeth,Pristnor,Female,2001-09-17 00:00:00,Manufacturing,Recruiting Manager,Mass Customer,N,No,41 Service Lane
106,Glyn,,Male,1966-07-03 00:00:00,Health,Software Test Engineer III,High Net Worth,N,Yes,5 Moose Road
107,Pris,Stallebrass,Female,1990-07-01 00:00:00,Financial Services,Nurse Practicioner,Mass Customer,N,Yes,7342 Fieldstone Junction
108,Kayle,Mingaud,Female,1994-03-14 00:00:00,,,High Net Worth,N,No,0 David Terrace
109,Cody,Blabey,Male,1978-12-11 00:00:00,,Marketing Assistant,Affluent Customer,N,Yes,15239 Northwestern Point
110,Sascha,St. Quintin,Male,2000-07-31 00:00:00,Financial Services,,Affluent Customer,N,No,60 Oneill Street
111,Cele,Evason,Female,1993-08-29 00:00:00,,Analyst Programmer,Mass Customer,N,No,8194 Sachtjen Drive
112,Shena,Parren,Female,1975-08-12 00:00:00,Retail,Marketing Manager,High Net Worth,N,No,0349 Farmco Terrace
113,Gage,Nickless,Male,1956-05-06 00:00:00,,Staff Scientist,Mass Customer,N,No,185 Pennsylvania Way
114,Sunny,Swindells,Female,1985-10-23 00:00:00,Entertainment,Teacher,Affluent Customer,N,No,432 Longview Circle
115,Alberik,Mereweather,Male,1981-12-21 00:00:00,Health,Account Executive,Mass Customer,N,No,5814 Bunker Hill Street
116,Scottie,Swiffen,Male,1999-02-05 00:00:00,Manufacturing,Assistant Professor,Affluent Customer,N,Yes,7 Carberry Crossing
117,Nance,Suttling,Female,1982-02-23 00:00:00,Manufacturing,Marketing Manager,Mass Customer,N,No,53 Talisman Trail
118,Prentice,Pearmain,Male,1959-11-12 00:00:00,,Budget/Accounting Analyst IV,High Net Worth,N,No,5 Prairie Rose Road
119,Willey,Chastanet,Male,1981-12-04 00:00:00,,Associate Professor,High Net Worth,N,Yes,84 Florence Parkway
120,Sloan,Wagg,Male,1978-09-02 00:00:00,Financial Services,Legal Assistant,High Net Worth,N,Yes,739 Elmside Way
121,Myles,Pauncefort,Male,1957-10-02 00:00:00,Manufacturing,Graphic Designer,Mass Customer,N,No,684 Northport Circle
122,Colver,Itter,Male,1979-04-19 00:00:00,Financial Services,Quality Control Specialist,Mass Customer,N,Yes,8 Hagan Hill
123,Almeta,Kalinsky,Female,1988-12-03 00:00:00,Financial Services,Analyst Programmer,High Net Worth,N,No,0 Pearson Crossing
124,Kath,Cunney,Female,1995-05-03 00:00:00,Health,Administrative Assistant II,High Net Worth,N,Yes,10918 Merry Way
125,Darrelle,Antoniewski,Female,1960-03-17 00:00:00,Property,Computer Systems Analyst II,Mass Customer,N,No,97 Coolidge Trail
126,Norman,Cliff,Male,1992-10-15 00:00:00,Health,Administrative Officer,Mass Customer,N,Yes,58 Helena Hill
127,Merrili,Whitear,Female,1974-12-03 00:00:00,Financial Services,Compensation Analyst,Mass Customer,N,No,352 Forster Place
128,Isidro,Cypler,Male,1977-07-17 00:00:00,Property,Systems Administrator III,Mass Customer,N,Yes,12306 Lawn Street
129,Weidar,Silkstone,Male,1985-07-20 00:00:00,Financial Services,Financial Advisor,High Net Worth,N,Yes,19392 7th Trail
130,Raddy,Delete,Male,1997-07-18 00:00:00,Manufacturing,Chemical Engineer,Mass Customer,N,No,1605 Northfield Junction
131,Jana,Renyard,Female,1964-10-16 00:00:00,Retail,Administrative Officer,High Net Worth,N,No,9674 Graceland Junction
132,Celesta,Willavoys,Female,1963-07-07 00:00:00,Manufacturing,Web Designer I,Mass Customer,N,Yes,638 Thackeray Junction
133,Eldridge,Fiddeman,Male,1977-06-13 00:00:00,Financial Services,VP Accounting,Mass Customer,N,Yes,869 Forster Circle
134,Merna,McCulloch,Female,1997-08-01 00:00:00,Telecommunications,Legal Assistant,Affluent Customer,N,Yes,0 Golden Leaf Crossing
135,Rosalia,Sigart,Female,1975-01-18 00:00:00,IT,Internal Auditor,Mass Customer,N,No,215 Lindbergh Trail
136,Mel,Bennet,Male,1973-05-26 00:00:00,Manufacturing,Senior Developer,High Net Worth,N,Yes,829 Washington Crossing
137,Vaughn,Artin,Male,1987-11-21 00:00:00,Property,Office Assistant II,High Net Worth,N,No,585 Loomis Court
138,Onofredo,Franc,Male,1985-04-28 00:00:00,Financial Services,Recruiter,Affluent Customer,N,Yes,68063 Blue Bill Park Center
139,Gar,,Male,1964-07-28 00:00:00,Telecommunications,Operator,Affluent Customer,N,No,15673 Farmco Point
140,Morrie,Flaxon,Male,1994-05-20 00:00:00,Manufacturing,Programmer Analyst III,Mass Customer,N,No,22 Oxford Junction
141,Townsend,Trobe,Male,1954-06-25 00:00:00,Financial Services,Teacher,High Net Worth,N,Yes,7245 Cottonwood Center
142,Bentley,Fortesquieu,Male,1967-08-07 00:00:00,Health,Quality Engineer,Affluent Customer,N,No,20382 Spohn Alley
143,Kendall,Figg,Male,1957-09-01 00:00:00,Argiculture,Operator,Mass Customer,N,Yes,12375 Cambridge Pass
144,Jory,Barrabeale,U,,IT,Environmental Tech,Mass Customer,N,No,03 Granby Parkway
145,Filippo,Ferrara,Male,1997-07-21 00:00:00,Financial Services,Account Executive,Mass Customer,N,No,939 Coleman Pass
146,Ricoriki,Matlock,Male,1985-04-08 00:00:00,Manufacturing,Quality Control Specialist,Mass Customer,N,No,69914 Bowman Place
147,Rea,Pattrick,Female,1973-12-06 00:00:00,Health,Analog Circuit Design manager,Mass Customer,N,Yes,34457 Springview Street
148,Jaquith,Maffey,Female,1981-05-08 00:00:00,,Programmer Analyst III,Mass Customer,N,Yes,992 Old Shore Trail
149,Drucy,Kausche,Female,1995-01-31 00:00:00,Health,Research Nurse,Mass Customer,N,Yes,453 Sheridan Street
150,Bradly,Crosse,Male,1983-08-23 00:00:00,Financial Services,Cost Accountant,Affluent Customer,N,No,8 Mccormick Crossing
151,Donnie,Brimson,Male,1965-01-31 00:00:00,Manufacturing,Marketing Manager,Mass Customer,N,Yes,63344 Holmberg Crossing
152,Stephana,Cardew,Female,1981-03-03 00:00:00,Financial Services,Compensation Analyst,Mass Customer,N,No,9 Huxley Circle
153,Lorilyn,Walshe,Female,1977-07-28 00:00:00,Entertainment,Assistant Media Planner,Mass Customer,N,Yes,0 Hazelcrest Road
154,Faydra,Dulieu,Female,1958-02-13 00:00:00,,Junior Executive,Mass Customer,N,No,2 Continental Plaza
155,Orran,Bogges,Male,1985-12-28 00:00:00,Manufacturing,Quality Engineer,Mass Customer,N,No,80 Duke Terrace
156,Shayla,Rimmington,Female,1979-09-09 00:00:00,Financial Services,Cost Accountant,Mass Customer,N,Yes,860 Hintze Lane
157,Chad,Houtby,Male,1974-11-23 00:00:00,Financial Services,Financial Advisor,Affluent Customer,N,No,3723 Bunker Hill Circle
158,Hamlin,Odams,Male,1984-09-03 00:00:00,,Internal Auditor,Affluent Customer,N,No,5 Corry Court
159,Arin,Matskevich,Male,1987-05-12 00:00:00,Health,Research Nurse,Affluent Customer,N,No,65105 Sommers Pass
160,Wake,Durning,Male,1964-07-15 00:00:00,Health,Registered Nurse,Mass Customer,N,No,2054 Sommers Pass
161,Tadd,Bloss,Male,1976-01-21 00:00:00,,,Mass Customer,N,No,22371 Miller Trail
162,Port,Acuna,Male,1979-08-12 00:00:00,IT,Nurse Practicioner,Mass Customer,N,No,35807 Oneill Way
163,Kessia,Helder,Female,1976-09-06 00:00:00,Entertainment,Librarian,High Net Worth,N,Yes,75612 Clarendon Junction
164,Aarika,Van Vuuren,Female,1999-08-07 00:00:00,Retail,Senior Editor,Affluent Customer,N,Yes,16 Golf View Center
165,Aldon,Roelofs,Male,1984-03-25 00:00:00,Argiculture,Administrative Officer,Mass Customer,N,Yes,93 Iowa Junction
166,Elston,Oleszczak,Male,1955-06-12 00:00:00,Manufacturing,Structural Analysis Engineer,Affluent Customer,N,No,48 Cascade Terrace
167,Nathalie,Tideswell,Female,1969-10-27 00:00:00,Health,,High Net Worth,N,Yes,13950 Jackson Avenue
168,Reggie,Broggetti,U,,IT,General Manager,Affluent Customer,N,Yes,35386 Mockingbird Road
169,Alfy,Bruhnke,Male,1957-10-19 00:00:00,Telecommunications,Data Coordiator,High Net Worth,N,Yes,2 Randy Point
170,Jammal,Gever,Male,1975-06-02 00:00:00,Health,Pharmacist,High Net Worth,N,No,6898 Redwing Park
171,Halli,Davidoff,Female,1970-12-04 00:00:00,Manufacturing,Assistant Manager,Mass Customer,N,No,52273 Bay Place
172,Hilton,Carney,Male,1988-09-12 00:00:00,Manufacturing,Editor,Affluent Customer,N,Yes,272 Montana Avenue
173,Ebba,Hanselmann,Female,1997-01-02 00:00:00,Health,General Manager,Affluent Customer,N,No,82520 Mifflin Drive
174,Catie,Tosspell,Female,1989-11-26 00:00:00,Health,Food Chemist,Mass Customer,N,No,8 Dixon Parkway
175,Templeton,Hambrook,Male,1975-11-28 00:00:00,Manufacturing,Quality Engineer,Affluent Customer,N,No,4 Dayton Terrace
176,Angelo,Clayal,Male,1992-04-13 00:00:00,Property,Accountant I,Mass Customer,N,No,216 Barnett Junction
177,Ondrea,Pablos,Female,1989-11-09 00:00:00,Financial Services,Professor,High Net Worth,N,No,8256 Annamark Court
178,Matthieu,Bertelmot,Male,1967-04-03 00:00:00,,,Affluent Customer,N,No,83012 Dapin Lane
179,Esteban,Sewill,Male,1966-05-11 00:00:00,Manufacturing,Environmental Tech,High Net Worth,N,Yes,8 Haas Park
180,Trisha,Neasham,Female,1971-09-17 00:00:00,Argiculture,Web Designer III,Affluent Customer,N,No,50 Meadow Ridge Way
181,Pavla,Braunle,Female,1982-11-21 00:00:00,Manufacturing,Senior Editor,Mass Customer,N,No,3567 Northfield Lane
182,Lydon,Dahlman,Male,1992-11-20 00:00:00,Financial Services,Sales Associate,Affluent Customer,N,Yes,0059 Brentwood Road
183,Dannie,Hissie,Female,1997-08-05 00:00:00,Retail,Geologist III,Affluent Customer,N,No,0274 Oneill Alley
184,Nappie,Paolo,Male,1971-12-13 00:00:00,Manufacturing,Marketing Manager,High Net Worth,N,Yes,4179 Carioca Terrace
185,Crosby,Walcot,Male,1979-12-13 00:00:00,Property,,Mass Customer,N,Yes,59265 Sullivan Junction
186,Mireielle,Jeppe,Female,1974-05-06 00:00:00,Financial Services,Software Test Engineer I,Mass Customer,N,No,7 Warbler Point
187,Pincas,Ather,Male,1954-01-28 00:00:00,,Structural Engineer,Mass Customer,N,No,3 Buell Park
188,Audry,Seine,Female,1975-06-22 00:00:00,Property,Safety Technician II,High Net Worth,N,Yes,0 Bay Center
189,Umberto,Torricella,Male,1981-07-19 00:00:00,Financial Services,Safety Technician I,Affluent Customer,N,No,10878 Waywood Way
190,Hayley,Girardengo,Female,1979-02-04 00:00:00,Health,Registered Nurse,Affluent Customer,N,No,362 Mayer Terrace
191,Christopher,Heining,Male,1960-04-27 00:00:00,,Help Desk Operator,Affluent Customer,N,Yes,43 Upham Crossing
192,Goldi,Osler,Female,1978-11-19 00:00:00,Health,Junior Executive,Mass Customer,N,Yes,0 Superior Drive
193,Foss,Hardes,Male,1964-07-22 00:00:00,Manufacturing,Recruiting Manager,Mass Customer,N,Yes,8890 Golden Leaf Street
194,Ursala,Ferrai,Female,1974-11-16 00:00:00,Financial Services,Web Developer III,Affluent Customer,N,No,5484 Hagan Crossing
195,Talyah,Rylatt,Female,1958-11-14 00:00:00,Manufacturing,Project Manager,Mass Customer,N,No,7451 Jana Lane
196,Swen,Odhams,Male,1966-02-22 00:00:00,Manufacturing,Programmer Analyst II,High Net Worth,N,No,7 Havey Point
197,Avis,,Female,1977-01-27 00:00:00,,,High Net Worth,N,No,32 Steensland Plaza
198,Vanya,Gumb,Female,1981-11-29 00:00:00,Entertainment,Assistant Media Planner,Mass Customer,N,No,107 Elmside Parkway
199,Verla,Alven,Female,1978-02-13 00:00:00,Health,Junior Executive,Mass Customer,N,Yes,2 Gina Junction
200,Hube,Weald,Male,1957-02-04 00:00:00,Property,Physical Therapy Assistant,Affluent Customer,N,Yes,4 Londonderry Lane
201,Salem,Huie,Male,1966-04-20 00:00:00,Manufacturing,Design Engineer,Mass Customer,N,Yes,39716 Vera Junction
202,Audie,Pillinger,Female,1963-06-24 00:00:00,Entertainment,Librarian,Affluent Customer,N,Yes,183 Ronald Regan Street
203,Donovan,Conry,Male,1964-01-13 00:00:00,Argiculture,Senior Quality Engineer,Mass Customer,N,Yes,2 Thierer Road
204,Thorny,Hackworth,Male,1976-10-01 00:00:00,Financial Services,Editor,Mass Customer,N,No,056 Stone Corner Alley
205,Rolfe,Kellard,Male,1958-12-01 00:00:00,Financial Services,Administrative Assistant II,Mass Customer,N,Yes,528 Mandrake Crossing
206,Mari,Chevolleau,Female,1954-07-19 00:00:00,,Statistician I,Mass Customer,N,Yes,19969 5th Parkway
207,Adena,Whyman,Female,1994-08-10 00:00:00,,,Mass Customer,N,No,78 Rockefeller Park
208,Rutter,Excell,Male,1994-10-31 00:00:00,Property,Office Assistant III,High Net Worth,N,No,417 Transport Trail
209,Udall,Bellard,Male,1957-08-28 00:00:00,,Analog Circuit Design manager,Affluent Customer,N,Yes,6327 Lunder Crossing
210,Albrecht,Thomasson,Male,1963-11-18 00:00:00,Property,Assistant Manager,Mass Customer,N,No,811 Tony Road
211,Beitris,,Female,1974-03-04 00:00:00,Manufacturing,VP Marketing,Mass Customer,N,Yes,0 Northport Court
212,Nanice,Ellse,Female,2001-11-19 00:00:00,IT,Desktop Support Technician,Affluent Customer,N,No,231 Havey Court
213,Lockwood,Exroll,Male,1996-05-14 00:00:00,Financial Services,Actuary,High Net Worth,N,Yes,603 Kenwood Avenue
214,Jeramie,Cellier,Male,1957-11-29 00:00:00,Health,Food Chemist,Mass Customer,N,No,09040 Myrtle Parkway
215,Debera,Foxworthy,Female,1974-06-24 00:00:00,Retail,Assistant Professor,High Net Worth,N,Yes,05241 Shelley Park
216,Cinderella,Parcall,Female,1995-01-12 00:00:00,Financial Services,Quality Engineer,High Net Worth,N,Yes,7 Pankratz Point
217,Jeralee,Quartly,Female,1979-12-09 00:00:00,Manufacturing,,High Net Worth,N,No,51 Crescent Oaks Parkway
218,Stefa,Dunnan,Female,1993-08-06 00:00:00,Property,Administrative Officer,High Net Worth,N,Yes,49 Emmet Junction
219,Markus,Mughal,Male,1964-11-25 00:00:00,Health,Database Administrator III,Mass Customer,N,No,78 Surrey Place
220,Jeniffer,Apark,Female,1954-05-10 00:00:00,Manufacturing,Electrical Engineer,High Net Worth,N,No,6236 Summerview Terrace
221,Mara,Bloore,Female,1980-03-10 00:00:00,Manufacturing,Tax Accountant,Mass Customer,N,No,682 Sheridan Avenue
222,Nev,Larive,Male,1978-09-03 00:00:00,Health,Clinical Specialist,Mass Customer,N,No,04139 Delladonna Place
